"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 08 15:14:48 IST 2024","Wed May 08 15:14:51 IST 2024","3104","Viewport","","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Wed May 08 15:13:11 IST 2024","Wed May 08 15:13:11 IST 2024","217","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Wed May 08 15:12:44 IST 2024","Wed May 08 15:12:44 IST 2024","388","Actions","","","","",".focus() - focus on a DOM element",""
"passed","Wed May 08 15:13:57 IST 2024","Wed May 08 15:13:58 IST 2024","840","Navigation","","","","","cy.reload() - reload the page",""
"passed","Wed May 08 15:13:19 IST 2024","Wed May 08 15:13:19 IST 2024","217","Connectors","","","","",".invoke() - invoke a function on the current subject",""
"passed","Wed May 08 15:13:58 IST 2024","Wed May 08 15:13:58 IST 2024","666","Navigation","","","","","cy.visit() - visit a remote url",""
"passed","Wed May 08 15:14:34 IST 2024","Wed May 08 15:14:34 IST 2024","229","Traversal","","","","",".find() - get descendant DOM elements of the selector",""
"passed","Wed May 08 15:14:23 IST 2024","Wed May 08 15:14:23 IST 2024","30","Spies, Stubs, and Clock","","","","","matches call arguments using Sinon matchers",""
"passed","Wed May 08 15:14:04 IST 2024","Wed May 08 15:14:04 IST 2024","706","Network Requests","","","","","cy.request() - verify response using BDD syntax",""
"passed","Wed May 08 15:12:34 IST 2024","Wed May 08 15:12:34 IST 2024","303","example to-do app","","","","","can check off an item as completed",""
"passed","Wed May 08 15:15:05 IST 2024","Wed May 08 15:15:06 IST 2024","213","Window","","","","","cy.document() - get the document object",""
"passed","Wed May 08 15:14:33 IST 2024","Wed May 08 15:14:33 IST 2024","385","Traversal","","","","",".children() - get child DOM elements",""
"passed","Wed May 08 15:14:13 IST 2024","Wed May 08 15:14:14 IST 2024","424","Querying","","","","","cy.get() - query DOM elements",""
"passed","Wed May 08 15:14:41 IST 2024","Wed May 08 15:14:42 IST 2024","752","Utilities","","","","","Cypress._ - call a lodash method",""
"passed","Wed May 08 15:14:34 IST 2024","Wed May 08 15:14:35 IST 2024","208","Traversal","","","","",".first() - get first DOM element",""
"passed","Wed May 08 15:13:49 IST 2024","Wed May 08 15:13:51 IST 2024","1289","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Wed May 08 15:14:29 IST 2024","Wed May 08 15:14:29 IST 2024","294","Local Storage / Session Storage","","","","","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins",""
"passed","Wed May 08 15:13:33 IST 2024","Wed May 08 15:13:33 IST 2024","192","Cypress APIs","Cypress.version","","","","Get current version of Cypress being run",""
"passed","Wed May 08 15:13:12 IST 2024","Wed May 08 15:13:12 IST 2024","213","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Wed May 08 15:13:12 IST 2024","Wed May 08 15:13:12 IST 2024","219","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Wed May 08 15:12:57 IST 2024","Wed May 08 15:12:57 IST 2024","266","Actions","","","","",".scrollIntoView() - scroll an element into view",""
"passed","Wed May 08 15:14:07 IST 2024","Wed May 08 15:14:09 IST 2024","1939","Network Requests","","","","","cy.intercept() - route responses to matching requests",""
"passed","Wed May 08 15:12:50 IST 2024","Wed May 08 15:12:51 IST 2024","531","Actions","","","","",".submit() - submit a form",""
"passed","Wed May 08 15:14:22 IST 2024","Wed May 08 15:14:22 IST 2024","198","Spies, Stubs, and Clock","","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Wed May 08 15:14:14 IST 2024","Wed May 08 15:14:14 IST 2024","208","Querying","","","","","cy.root() - query the root DOM element",""
"passed","Wed May 08 15:13:32 IST 2024","Wed May 08 15:13:32 IST 2024","199","Cypress APIs","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Wed May 08 15:14:36 IST 2024","Wed May 08 15:14:36 IST 2024","208","Traversal","","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Wed May 08 15:14:36 IST 2024","Wed May 08 15:14:36 IST 2024","211","Traversal","","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Wed May 08 15:15:00 IST 2024","Wed May 08 15:15:01 IST 2024","970","Waiting","","","","","cy.wait() - wait for a specific route",""
"passed","Wed May 08 15:14:05 IST 2024","Wed May 08 15:14:06 IST 2024","961","Network Requests","","","","","cy.request() - pass result to the second request",""
"passed","Wed May 08 15:13:33 IST 2024","Wed May 08 15:13:33 IST 2024","202","Cypress APIs","Cypress.spec","","","","Get current spec information",""
"passed","Wed May 08 15:13:49 IST 2024","Wed May 08 15:13:49 IST 2024","218","Misc","","","","","cy.wrap() - wrap an object",""
"passed","Wed May 08 15:13:32 IST 2024","Wed May 08 15:13:32 IST 2024","202","Cypress APIs","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Wed May 08 15:12:54 IST 2024","Wed May 08 15:12:55 IST 2024","940","Actions","","","","",".check() - check a checkbox or radio element",""
"passed","Wed May 08 15:13:37 IST 2024","Wed May 08 15:13:38 IST 2024","726","Files","","","","","cy.fixture() - load a fixture",""
"passed","Wed May 08 15:12:39 IST 2024","Wed May 08 15:12:44 IST 2024","4496","Actions","","","","",".type() - type into a DOM element",""
"passed","Wed May 08 15:14:28 IST 2024","Wed May 08 15:14:28 IST 2024","277","Local Storage / Session Storage","","","","","cy.clearAllLocalStorage() - clear all data in localStorage for all origins",""
"passed","Wed May 08 15:12:57 IST 2024","Wed May 08 15:13:00 IST 2024","2258","Actions","","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Wed May 08 15:13:26 IST 2024","Wed May 08 15:13:26 IST 2024","232","Cookies","","","","","cy.setCookie() - set a browser cookie",""
"passed","Wed May 08 15:14:42 IST 2024","Wed May 08 15:14:43 IST 2024","770","Utilities","","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Wed May 08 15:14:37 IST 2024","Wed May 08 15:14:37 IST 2024","201","Traversal","","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Wed May 08 15:13:12 IST 2024","Wed May 08 15:13:14 IST 2024","1700","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Wed May 08 15:13:10 IST 2024","Wed May 08 15:13:11 IST 2024","451","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Wed May 08 15:14:42 IST 2024","Wed May 08 15:14:42 IST 2024","322","Utilities","","","","","Cypress.$ - call a jQuery method",""
"passed","Wed May 08 15:15:05 IST 2024","Wed May 08 15:15:05 IST 2024","331","Window","","","","","cy.window() - get the global window object",""
"passed","Wed May 08 15:13:20 IST 2024","Wed May 08 15:13:20 IST 2024","207","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Wed May 08 15:12:53 IST 2024","Wed May 08 15:12:53 IST 2024","326","Actions","","","","",".dblclick() - double click on a DOM element",""
"passed","Wed May 08 15:14:35 IST 2024","Wed May 08 15:14:35 IST 2024","205","Traversal","","","","",".nextAll() - get all next sibling DOM elements",""
"passed","Wed May 08 15:14:34 IST 2024","Wed May 08 15:14:34 IST 2024","202","Traversal","","","","",".filter() - get DOM elements that match the selector",""
"passed","Wed May 08 15:12:33 IST 2024","Wed May 08 15:12:34 IST 2024","563","example to-do app","","","","","can add new todo items",""
"passed","Wed May 08 15:14:06 IST 2024","Wed May 08 15:14:07 IST 2024","1013","Network Requests","","","","","cy.request() - save response in the shared test context",""
"passed","Wed May 08 15:14:14 IST 2024","Wed May 08 15:14:14 IST 2024","240","Querying","","","","","cy.contains() - query DOM elements with matching content",""
"passed","Wed May 08 15:13:43 IST 2024","Wed May 08 15:13:44 IST 2024","311","Location","","","","","cy.hash() - get the current URL hash",""
"passed","Wed May 08 15:14:23 IST 2024","Wed May 08 15:14:23 IST 2024","27","Spies, Stubs, and Clock","","","","","cy.stub() matches depending on arguments",""
"passed","Wed May 08 15:14:27 IST 2024","Wed May 08 15:14:27 IST 2024","615","Local Storage / Session Storage","","","","","cy.clearLocalStorage() - clear all data in localStorage for the current origin",""
"passed","Wed May 08 15:13:32 IST 2024","Wed May 08 15:13:33 IST 2024","203","Cypress APIs","Cypress.env()","","","","Get environment variables",""
"passed","Wed May 08 15:14:22 IST 2024","Wed May 08 15:14:23 IST 2024","373","Spies, Stubs, and Clock","","","","","cy.tick() - move time in the browser",""
"passed","Wed May 08 15:14:14 IST 2024","Wed May 08 15:14:15 IST 2024","784","Querying","","","","","best practices - selecting elements",""
"passed","Wed May 08 15:14:36 IST 2024","Wed May 08 15:14:37 IST 2024","206","Traversal","","","","",".prev() - get previous sibling DOM element",""
"passed","Wed May 08 15:12:34 IST 2024","Wed May 08 15:12:35 IST 2024","392","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Wed May 08 15:13:31 IST 2024","Wed May 08 15:13:31 IST 2024","351","Cypress APIs","Cypress.Commands","","","",".add() - create a custom command",""
"failed","Wed May 08 15:12:44 IST 2024","Wed May 08 15:12:49 IST 2024","4402","Actions","","","","","Intentionally failing this script",""
"passed","Wed May 08 15:14:37 IST 2024","Wed May 08 15:14:37 IST 2024","207","Traversal","","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Wed May 08 15:13:44 IST 2024","Wed May 08 15:13:44 IST 2024","190","Location","","","","","cy.url() - get the current URL",""
"passed","Wed May 08 15:13:04 IST 2024","Wed May 08 15:13:06 IST 2024","1967","Aliasing","","","","",".as() - alias a route for later use",""
"passed","Wed May 08 15:12:57 IST 2024","Wed May 08 15:12:57 IST 2024","269","Actions","","","","",".trigger() - trigger an event on a DOM element",""
"passed","Wed May 08 15:13:26 IST 2024","Wed May 08 15:13:26 IST 2024","304","Cookies","","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Wed May 08 15:14:35 IST 2024","Wed May 08 15:14:35 IST 2024","207","Traversal","","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Wed May 08 15:13:27 IST 2024","Wed May 08 15:13:27 IST 2024","241","Cookies","","","","","cy.clearAllCookies() - clear all browser cookies",""
"passed","Wed May 08 15:15:06 IST 2024","Wed May 08 15:15:06 IST 2024","192","Window","","","","","cy.title() - get the title",""
"passed","Wed May 08 15:13:19 IST 2024","Wed May 08 15:13:20 IST 2024","202","Connectors","","","","",".spread() - spread an array as individual args to callback function",""
"passed","Wed May 08 15:12:35 IST 2024","Wed May 08 15:12:35 IST 2024","383","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Wed May 08 15:12:49 IST 2024","Wed May 08 15:12:50 IST 2024","555","Actions","","","","",".blur() - blur off a DOM element",""
"passed","Wed May 08 15:13:04 IST 2024","Wed May 08 15:13:04 IST 2024","518","Aliasing","","","","",".as() - alias a DOM element for later use",""
"passed","Wed May 08 15:13:48 IST 2024","Wed May 08 15:13:48 IST 2024","516","Misc","","","","",".end() - end the command chain",""
"passed","Wed May 08 15:13:31 IST 2024","Wed May 08 15:13:32 IST 2024","233","Cypress APIs","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Wed May 08 15:13:39 IST 2024","Wed May 08 15:13:39 IST 2024","679","Files","","","","","cy.writeFile() - write to a file",""
"passed","Wed May 08 15:13:19 IST 2024","Wed May 08 15:13:19 IST 2024","232","Connectors","","","","",".its() - get properties on the current subject",""
"passed","Wed May 08 15:14:04 IST 2024","Wed May 08 15:14:05 IST 2024","574","Network Requests","","","","","cy.request() with query parameters",""
"passed","Wed May 08 15:13:44 IST 2024","Wed May 08 15:13:44 IST 2024","228","Location","","","","","cy.location() - get window.location",""
"passed","Wed May 08 15:13:12 IST 2024","Wed May 08 15:13:12 IST 2024","205","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Wed May 08 15:13:26 IST 2024","Wed May 08 15:13:26 IST 2024","316","Cookies","","","","","cy.clearCookies() - clear browser cookies for the current domain",""
"passed","Wed May 08 15:12:53 IST 2024","Wed May 08 15:12:54 IST 2024","311","Actions","","","","",".rightclick() - right click on a DOM element",""
"passed","Wed May 08 15:12:31 IST 2024","Wed May 08 15:12:33 IST 2024","2009","example to-do app","","","","","displays two todo items by default",""
"passed","Wed May 08 15:13:20 IST 2024","Wed May 08 15:13:20 IST 2024","234","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Wed May 08 15:13:48 IST 2024","Wed May 08 15:13:49 IST 2024","655","Misc","","","","","cy.exec() - execute a system command",""
"passed","Wed May 08 15:13:25 IST 2024","Wed May 08 15:13:25 IST 2024","325","Cookies","","","","","cy.getCookies() - get browser cookies for the current domain",""
"passed","Wed May 08 15:13:33 IST 2024","Wed May 08 15:13:33 IST 2024","194","Cypress APIs","Cypress.log","","","","Control what is printed to the Command Log",""
"passed","Wed May 08 15:13:51 IST 2024","Wed May 08 15:13:51 IST 2024","214","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Wed May 08 15:14:37 IST 2024","Wed May 08 15:14:37 IST 2024","198","Traversal","","","","",".siblings() - get all sibling DOM elements",""
"passed","Wed May 08 15:13:11 IST 2024","Wed May 08 15:13:12 IST 2024","251","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Wed May 08 15:13:12 IST 2024","Wed May 08 15:13:12 IST 2024","213","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Wed May 08 15:12:50 IST 2024","Wed May 08 15:12:50 IST 2024","642","Actions","","","","",".clear() - clears an input or textarea element",""
"passed","Wed May 08 15:14:35 IST 2024","Wed May 08 15:14:36 IST 2024","205","Traversal","","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Wed May 08 15:14:43 IST 2024","Wed May 08 15:14:45 IST 2024","1204","Utilities","","","","","Cypress.Promise - instantiate a bluebird promise",""
"broken","Wed May 08 15:12:21 IST 2024","Wed May 08 15:12:26 IST 2024","4964","My First Test Suite","","","","","My FirstTest case",""
"passed","Wed May 08 15:14:02 IST 2024","Wed May 08 15:14:04 IST 2024","1135","Network Requests","","","","","cy.request() - make an XHR request",""
"passed","Wed May 08 15:14:35 IST 2024","Wed May 08 15:14:35 IST 2024","203","Traversal","","","","",".last() - get last DOM element",""
"passed","Wed May 08 15:13:25 IST 2024","Wed May 08 15:13:25 IST 2024","444","Cookies","","","","","cy.getCookie() - get a browser cookie",""
"passed","Wed May 08 15:12:51 IST 2024","Wed May 08 15:12:53 IST 2024","2142","Actions","","","","",".click() - click on a DOM element",""
